DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2017/1/1713:00,23,105,105,2.5,0,3
2017/1/1714:00,22,110,105,3,0,9
2017/1/1715:00,22,106,107,3.1,0,10
2017/1/1716:00,22,109,104,2.6,0,7
2017/1/1717:00,21,110,108,2.2,0,8
2017/1/1718:00,21,104,115,1.9,0,5
2017/1/1719:00,21,89,89,1.6,0,9
2017/1/1720:00,21,99,92,1.6,0,5
2017/1/1721:00,21,96,59,1.1,0,10
2017/1/1722:00,21,111,123,1.2,0,6
2017/1/1723:00,21,185,185,0.9,0,11
2017/1/1800:00,20,138,154,1.3,0,5
2017/1/1801:00,19,135,104,0.6,0,6
2017/1/1802:00,19,298,238,0.8,0,1
2017/1/1803:00,18,166,33,0.5,0,9
2017/1/1804:00,19,322,219,0.6,0,13
2017/1/1805:00,18,108,89,0.6,0,13
2017/1/1806:00,19,89,307,0.5,0,9
2017/1/1807:00,19,187,131,0.9,0,13
2017/1/1808:00,20,69,305,1,0,21
2017/1/1809:00,21,313,291,1.8,0,26
2017/1/1810:00,22,295,272,2,0,15
2017/1/1811:00,23,291,293,1.3,0,14
2017/1/1812:00,22,301,297,2.1,0,6
2017/1/1813:00,23,289,292,2.2,0,16
2017/1/1814:00,23,289,288,3.1,0,10
2017/1/1815:00,22,298,302,2.6,0,17
2017/1/1816:00,21,300,239,0.7,0,12
2017/1/1817:00,21,275,286,1.3,0,14
2017/1/1818:00,20,300,302,1.4,0,13
2017/1/1819:00,19,281,262,1,0,16
2017/1/1820:00,19,231,198,0.7,0,13
2017/1/1821:00,20,206,271,0.8,0,13
2017/1/1822:00,19,306,296,0.5,0,14
2017/1/1823:00,19,224,231,0.6,0,17
2017/1/1900:00,19,291,292,0.9,0,12
2017/1/1901:00,19,305,299,1,0,7
2017/1/1902:00,19,264,277,1.1,0,2
2017/1/1903:00,19,305,323,1.3,0,5
2017/1/1904:00,19,304,291,1.5,0,1
2017/1/1905:00,18,294,305,1.8,0,6
2017/1/1906:00,18,308,307,1.2,0,5
2017/1/1907:00,18,308,314,2,0,6
2017/1/1910:00,20,286,265,2.2,0,3
2017/1/1911:00,21,251,260,2.5,0,5
2017/1/1912:00,22,248,235,2.9,0,3
2017/1/1913:00,21,244,262,1.4,0,6
2017/1/1914:00,21,294,270,1.1,0,6
2017/1/1915:00,21,276,242,1.1,0,10
2017/1/1916:00,20,193,173,1.3,0,4
2017/1/1917:00,20,241,309,1.7,0,3
2017/1/1918:00,19,295,299,0.8,0,7
2017/1/1919:00,18,281,297,0.9,0,13
2017/1/1920:00,18,305,298,0.8,0,13
2017/1/1921:00,18,275,303,0.8,0,12
2017/1/1922:00,18,275,260,0.7,0,12
2017/1/1923:00,18,290,296,1,0,14
2017/1/2001:00,17,256,255,1.1,0,7
2017/1/2002:00,17,196,197,1.9,0,3
2017/1/2003:00,16,200,233,1.1,0,6
2017/1/2005:00,15,231,280,1.2,0,6
2017/1/2006:00,15,226,222,1.6,0,6
2017/1/2007:00,15,219,84,2.6,0,11
2017/1/2008:00,15,101,85,1.7,0,6
2017/1/2009:00,15,105,117,1.9,0,8
2017/1/2010:00,15,151,163,2,0,3
2017/1/2011:00,15,179,143,1.8,0,10
2017/1/2012:00,14,108,133,1.7,0,12
2017/1/2013:00,13,110,105,3.3,0,20
2017/1/2014:00,13,113,103,2.8,0,20
2017/1/2015:00,12,112,109,2.2,0,29
2017/1/2016:00,12,106,113,2.8,0,36
2017/1/2017:00,13,114,116,3.3,0,42
2017/1/2018:00,13,111,118,2.9,0,39
2017/1/2019:00,13,112,119,3.1,0,34
2017/1/2020:00,13,110,110,3.2,0,33
2017/1/2021:00,13,109,106,1.9,0,36
2017/1/2022:00,13,110,112,2.9,0,39
2017/1/2023:00,13,109,105,2.5,0,32
2017/1/2100:00,13,107,104,1.8,0,23
2017/1/2101:00,13,100,107,1.5,0,13
2017/1/2102:00,13,113,119,2.2,0,14
2017/1/2103:00,13,108,100,2.6,0,13
2017/1/2104:00,13,109,107,2.5,0,11
2017/1/2105:00,13,111,104,2.7,0,9
2017/1/2106:00,14,95,104,1.3,0,9
2017/1/2107:00,14,100,108,1.7,0,14
2017/1/2108:00,14,106,107,1.4,0,13
2017/1/2109:00,14,107,92,1.6,0,13
2017/1/2110:00,15,82,66,1.7,0,13
